compound,tyre_age,lightgbm_s,xgboost_s,catboost_s,ensemble_s,lightgbm_deg_s,xgboost_deg_s,catboost_deg_s,ensemble_deg_s
HARD,14,82.6674343651226,94.0986557006836,82.88640634150586,86.55272662786243,2.1911162140262377,2.513153076171875,2.7808571198102925,2.5044672367938006
HARD,15,82.82988856314164,94.15203094482422,82.91408323005057,86.63174646026562,2.353570412045272,2.5665283203125,2.8085340083549966,2.583487069196991
HARD,16,82.82988856314164,94.15203094482422,82.88853746556278,86.6228209596654,2.353570412045272,2.5665283203125,2.7829882438672087,2.5745615685967778
HARD,17,82.84093541232549,94.18115997314453,82.74799165205106,86.58692728437163,2.364617261229128,2.5956573486328125,2.642442430355487,2.538667893303
HARD,18,82.89502172064573,94.18683624267578,82.70651075000089,86.59149330790234,2.418703569549365,2.6013336181640625,2.6009615283053193,2.5432339168337137
HARD,19,82.93568489105786,94.17654418945312,82.71838538193347,86.60512013228495,2.459366739961496,2.5910415649414062,2.6128361602379044,2.556860741216326
HARD,20,83.04011122662214,94.48442077636719,82.68610858234777,86.72957128843855,2.56379307552578,2.8989181518554688,2.5805593606522024,2.6813118973699233
HARD,21,83.0434057018739,94.44416046142578,82.873265268358,86.7825937729528,2.5670875507775293,2.8586578369140625,2.7677160466624287,2.7343343818841674
HARD,22,83.0434057018739,94.60832977294922,82.87768586263897,86.83883810483609,2.5670875507775293,3.0228271484375,2.772136640943401,2.7905787137674594
HARD,23,82.99224717724964,94.80530548095703,82.87495829018945,86.88727719748464,2.515929026153273,3.2198028564453125,2.7694090684938857,2.8390178064160096
HARD,24,83.12082677338121,94.64802551269531,82.83808822402973,86.86280394958372,2.644508622284846,3.0625228881835938,2.732539002334164,2.814544558515095
HARD,25,83.20827846122442,94.67159271240234,83.10299947296011,86.99097292709408,2.731960310128059,3.086090087890625,2.9974502512645387,2.942713536025451
HARD,26,83.51431926655037,94.90569305419922,83.12854589049942,87.17504112766412,3.0380011154540085,3.3201904296875,3.022996668803856,3.1267817365954897
HARD,27,83.51431926655037,94.90569305419922,83.1167704397651,87.17092687253401,3.0380011154540085,3.3201904296875,3.0112212180695366,3.1226674814653848
HARD,28,83.51431926655037,94.91767120361328,83.09720971093128,87.16808351582296,3.0380011154540085,3.3321685791015625,2.991660489235713,3.119824124754331
HARD,29,83.51431926655037,94.91767120361328,83.09242533702118,87.16641189107175,3.0380011154540085,3.3321685791015625,2.9868761153256145,3.11815250000312
HARD,30,83.51431926655037,94.86289978027344,83.09242533702118,87.14816252174988,3.0380011154540085,3.2773971557617188,2.9868761153256145,3.0999031306812554
HARD,31,83.51431926655037,94.86289978027344,83.09242533702118,87.14816252174988,3.0380011154540085,3.2773971557617188,2.9868761153256145,3.0999031306812554
HARD,32,83.51431926655037,94.83214569091797,83.09242533702118,87.13791552248307,3.0380011154540085,3.24664306640625,2.9868761153256145,3.0896561314144435
HARD,33,83.51431926655037,94.78014373779297,83.09242533702118,87.12058891692548,3.0380011154540085,3.19464111328125,2.9868761153256145,3.0723295258568584
HARD,34,83.51431926655037,94.7989273071289,83.09242533702118,87.12684744140947,3.0380011154540085,3.2134246826171875,2.9868761153256145,3.0785880503408407
HARD,35,83.51431926655037,94.69175720214844,83.09357596095647,87.09154129945233,3.0380011154540085,3.1062545776367188,2.988026739260903,3.0432819083837046
HARD,36,83.51431926655037,94.69175720214844,83.09357596095647,87.09154129945233,3.0380011154540085,3.1062545776367188,2.988026739260903,3.0432819083837046
HARD,37,83.51431926655037,94.69175720214844,83.09357596095647,87.09154129945233,3.0380011154540085,3.1062545776367188,2.988026739260903,3.0432819083837046
HARD,38,83.51431926655037,94.69175720214844,83.09357596095647,87.09154129945233,3.0380011154540085,3.1062545776367188,2.988026739260903,3.0432819083837046
HARD,39,83.51431926655037,94.69175720214844,83.09357596095647,87.09154129945233,3.0380011154540085,3.1062545776367188,2.988026739260903,3.0432819083837046
HARD,40,83.51431926655037,94.69175720214844,83.09357596095647,87.09154129945233,3.0380011154540085,3.1062545776367188,2.988026739260903,3.0432819083837046
